Posição,País,Medalhas de Ouro,Medalhas de Prata,Medalhas de Bronze,Total de Medalhas
113º,Gana GAN,0.0,0.0,0.0,0.0
114º,Granada GRA,0.0,0.0,0.0,0.0
115º,Guatemala GUA,0.0,0.0,0.0,0.0
116º,Guiné GUI,0.0,0.0,0.0,0.0
117º,Guiné-Bissau GUB,0.0,0.0,0.0,0.0
118º,Haiti HAI,0.0,0.0,0.0,0.0
119º,Honduras HON,0.0,0.0,0.0,0.0
120º,Iêmen IEM,0.0,0.0,0.0,0.0
121º,Ilhas Salomão ISA,0.0,0.0,0.0,0.0
122º,Ilhas Virgens Norte-Americanas IVI,0.0,0.0,0.0,0.0
123º,Islândia ISL,0.0,0.0,0.0,0.0
124º,Jamaica JAM,0.0,0.0,0.0,0.0
125º,Kiribati KIR,0.0,0.0,0.0,0.0
126º,Kosovo KOS,0.0,0.0,0.0,0.0
127º,Laos LAO,0.0,0.0,0.0,0.0
128º,Lesoto LES,0.0,0.0,0.0,0.0
129º,Líbano LIB,0.0,0.0,0.0,0.0
130º,Libéria LBR,0.0,0.0,0.0,0.0
131º,Líbia LBA,0.0,0.0,0.0,0.0
132º,Macau MAC,0.0,0.0,0.0,0.0
133º,Macedônia MAC,0.0,0.0,0.0,0.0
134º,Malauí MLU,0.0,0.0,0.0,0.0
135º,Maldivas MLD,0.0,0.0,0.0,0.0
136º,Mali MLI,0.0,0.0,0.0,0.0
137º,Malta MLT,0.0,0.0,0.0,0.0
138º,Mianmar MIA,0.0,0.0,0.0,0.0
139º,Moçambique MOC,0.0,0.0,0.0,0.0
140º,Nicarágua NIC,0.0,0.0,0.0,0.0
141º,Níger NIG,0.0,0.0,0.0,0.0
142º,Omã OMA,0.0,0.0,0.0,0.0
143º,Palestina PAL,0.0,0.0,0.0,0.0
144º,Panamá PAN,0.0,0.0,0.0,0.0
145º,Papua-Nova Guiné PNG,0.0,0.0,0.0,0.0
146º,Paraguai PAR,0.0,0.0,0.0,0.0
147º,Porto Rico PRC,0.0,0.0,0.0,0.0
148º,Qatar QAT,0.0,0.0,0.0,0.0
149º,Quirguistão QUI,0.0,0.0,0.0,0.0
150º,RD Congo COG,0.0,0.0,0.0,0.0
151º,República Centro-Africana RCA,0.0,0.0,0.0,0.0
152º,República Dominicana DOM,0.0,0.0,0.0,0.0
153º,Ruanda RUA,0.0,0.0,0.0,0.0
154º,São Tomé e Príncipe STP,0.0,0.0,0.0,0.0
155º,São Vicente e Granadinas SVI,0.0,0.0,0.0,0.0
156º,Senegal SEN,0.0,0.0,0.0,0.0
157º,Serra Leoa SLE,0.0,0.0,0.0,0.0
158º,Síria SIR,0.0,0.0,0.0,0.0
159º,Somália SOM,0.0,0.0,0.0,0.0
160º,Suriname SUR,0.0,0.0,0.0,0.0
161º,Tanzânia TAN,0.0,0.0,0.0,0.0
162º,Timor-Leste TIM,0.0,0.0,0.0,0.0
163º,Togo TOG,0.0,0.0,0.0,0.0
164º,Tonga TGA,0.0,0.0,0.0,0.0
165º,Turcomenistão TCM,0.0,0.0,0.0,0.0
166º,Uganda UGA,0.0,0.0,0.0,0.0
167º,Uruguai URU,0.0,0.0,0.0,0.0
168º,Vanuatu VAN,0.0,0.0,0.0,0.0
169º,Zâmbia ZAM,0.0,0.0,0.0,0.0
170º,Zimbábue ZIM,0.0,0.0,0.0,0.0
1º,China CHN,94.0,76.0,50.0,220.0
2º,Brasil BRA,25.0,26.0,38.0,89.0
3º,Ucrânia UCR,22.0,28.0,32.0,82.0
4º,Itália ITA,24.0,15.0,32.0,71.0
5º,Grã-Bretanha GBR,49.0,44.0,31.0,124.0
6º,França FRA,19.0,28.0,28.0,75.0
7º,Austrália AUS,18.0,17.0,28.0,63.0
8º,Estados Unidos EUA,36.0,42.0,27.0,105.0
9º,Alemanha ALE,10.0,14.0,25.0,49.0
10º,Atletas Paralímpicos Neutros IPA,26.0,22.0,23.0,71.0
11º,Espanha ESP,7.0,11.0,22.0,40.0
12º,Japão JAP,14.0,10.0,17.0,41.0
13º,Coreia do Sul CDS,6.0,10.0,14.0,30.0
14º,Colômbia COL,7.0,7.0,14.0,28.0
15º,Tailândia TAI,6.0,11.0,13.0,30.0
16º,Índia IND,7.0,9.0,13.0,29.0
17º,Holanda HOL,27.0,17.0,12.0,56.0
18º,Turquia TUR,6.0,10.0,12.0,28.0
19º,Canadá CAN,10.0,9.0,10.0,29.0
20º,Polônia POL,8.0,6.0,9.0,23.0
21º,México MEX,3.0,6.0,8.0,17.0
22º,Argentina ARG,2.0,3.0,8.0,13.0
23º,Irã IRA,8.0,10.0,7.0,25.0
24º,Uzbequistão UZB,10.0,9.0,7.0,26.0
25º,Grécia GRE,3.0,3.0,7.0,13.0
26º,Marrocos MAR,3.0,6.0,6.0,15.0
27º,Suíça SUI,8.0,8.0,5.0,21.0
28º,Indonésia INS,1.0,8.0,5.0,14.0
29º,Dinamarca DIN,2.0,3.0,5.0,10.0
30º,Azerbaijão AZE,4.0,2.0,5.0,11.0
31º,Argélia ALG,6.0,0.0,5.0,11.0
32º,Chile CHI,1.0,0.0,5.0,6.0
33º,Hungria HUN,5.0,6.0,4.0,15.0
34º,Geórgia GEO,1.0,4.0,4.0,9.0
35º,Nova Zelândia NZL,1.0,4.0,4.0,9.0
36º,Cazaquistão CAZ,2.0,3.0,4.0,9.0
37º,Israel ISR,4.0,2.0,4.0,10.0
38º,Portugal POR,2.0,1.0,4.0,7.0
39º,África do Sul AFS,2.0,0.0,4.0,6.0
40º,Bélgica BEL,7.0,4.0,3.0,14.0
41º,República Tcheca TCH,1.0,4.0,3.0,8.0
42º,Tunísia TUN,5.0,3.0,3.0,11.0
43º,Noruega NOR,1.0,3.0,3.0,7.0
44º,Egito EGI,2.0,2.0,3.0,7.0
45º,Iraque IRQ,1.0,1.0,3.0,5.0
46º,Finlândia FIN,0.0,1.0,3.0,4.0
47º,Nigéria NGR,2.0,3.0,2.0,7.0
48º,Irlanda IRL,1.0,3.0,2.0,6.0
49º,Sérvia SER,1.0,3.0,2.0,6.0
50º,Taiwan TAW,0.0,3.0,2.0,5.0
51º,Croácia CRO,1.0,1.0,2.0,4.0
52º,Suécia SUE,0.0,1.0,2.0,3.0
53º,Equador EQU,2.0,0.0,2.0,4.0
54º,Atletas Paraolímpicos Refugiados APR,0.0,0.0,2.0,2.0
55º,Hong Kong HKG,3.0,4.0,1.0,8.0
56º,Cuba CUB,6.0,3.0,1.0,10.0
57º,Áustria AUT,0.0,3.0,1.0,4.0
58º,Venezuela VEN,3.0,2.0,1.0,6.0
59º,Malásia MAL,2.0,2.0,1.0,5.0
60º,Chipre CHP,0.0,1.0,1.0,2.0
61º,Moldávia MOL,0.0,1.0,1.0,2.0
62º,Jordânia JOR,2.0,0.0,1.0,3.0
63º,Eslovênia ESL,1.0,0.0,1.0,2.0
64º,Kuwait KUA,1.0,0.0,1.0,2.0
65º,Namíbia NAM,1.0,0.0,1.0,2.0
66º,Romênia ROM,1.0,0.0,1.0,2.0
67º,Lituânia LIT,0.0,0.0,1.0,1.0
68º,Luxemburgo LUX,0.0,0.0,1.0,1.0
69º,Maurício MRI,0.0,0.0,1.0,1.0
70º,Montenegro MNE,0.0,0.0,1.0,1.0
71º,Nepal NEP,0.0,0.0,1.0,1.0
72º,Paquistão PAQ,0.0,0.0,1.0,1.0
73º,Vietnã VIE,0.0,0.0,1.0,1.0
74º,Mongólia MOG,1.0,3.0,0.0,4.0
75º,Eslováquia ESV,3.0,2.0,0.0,5.0
76º,Bósnia e Herzegovina BOS,0.0,2.0,0.0,2.0
77º,Letônia LET,3.0,1.0,0.0,4.0
78º,Cingapura CIN,2.0,1.0,0.0,3.0
79º,Etiópia ETI,2.0,1.0,0.0,3.0
80º,Quênia QUE,0.0,1.0,0.0,1.0
81º,Sri Lanka SRI,0.0,1.0,0.0,1.0
82º,Trinidad e Tobago TRI,0.0,1.0,0.0,1.0
83º,Costa Rica COS,2.0,0.0,0.0,2.0
